id,fecha,day,month,year,region,titulo,subtitular,cant_notas,politica,roja,deporte,accidente,comunitaria,nacionales,internacional,modelo_portada,especial,publicidad,contraportada,modelo,palabras_titulo,palabras_st,envio_total,cobrable,devuelto,vendido
040922nacional,09/04/2022,Saturday,April,2022,nacional,capturan a riki martin,repartidor de gas es senalado por nino de haberlo violado,3,0,0,0,0,0,3,0,0,0,0,internacional,1,4,10,96976,95078,6709,88369
041022nacional,10/04/2022,Sunday,April,2022,nacional,jesus nazareno del consuelo,procesion de la recoleccion recorre las calles del centro historico,4,0,0,0,1,2,1,0,0,0,0,deporte,0,4,10,98077,96218,4200,92018
041122nacional,11/04/2022,Monday,April,2022,nacional,atrapados en las carreteras,conozca los distintos sectores del pais donde ocurren congestionamientos que pueden atrasar su viaje,3,0,1,0,0,0,2,0,0,0,0,publicidad externa,1,4,14,102530,100117,10119,89998
041222nacional,12/04/2022,Tuesday,April,2022,nacional,unidos contra pandillas,ministros de guatemala y el salvador se reunen para coordinar la guerra contra los mareros,3,0,1,0,0,0,1,1,0,0,0,internacional,1,3,15,93924,91513,1237,90276
041322nacional,13/04/2022,Wednesday,April,2022,nacional,13 anos clamo por su mama,maria se perdio en la capital cuando tenia 9 anos ayer ambas se reencontraron en baja verapaz,3,0,0,1,0,0,2,0,0,0,0,publicidad externa,1,6,17,92117,87576,7649,79927
041422nacional,14/04/2022,Thursday,April,2022,nacional,muere en la cola,en fila de vehiculos de 13 kilometros intenso calor causa muerte de enfermo renal,3,0,1,0,1,1,0,0,0,0,0,internacional,1,4,14,83993,81544,13097,68447
041722nacional,17/04/2022,Sunday,April,2022,nacional,se salva de morir en la cruz,hombre se salva de tocar cables del tendido electrico durante viacrucis,3,0,0,0,0,3,0,0,0,0,0,modelo,1,7,11,90147,88013,12263,75750
041822nacional,18/04/2022,Monday,April,2022,nacional,kilometricas colas,veraneantes sufren por congestionamientos al volver de sitios turisticos en semana santa,2,0,0,0,0,0,2,0,0,0,0,publicidad externa,1,2,12,101917,99273,7510,91763
041922nacional,19/04/2022,Tuesday,April,2022,nacional,golpiza por robar par de zapatos,ladron pide perdon luego de ser capturado,4,0,1,0,0,2,1,0,0,0,0,deporte,1,6,7,95620,93186,8672,84514
042022nacional,20/04/2022,Wednesday,April,2022,nacional,caceria de mareros,autoridades han detenido a 16 delincuentes que huyeron de el salvador,3,0,0,0,1,0,2,0,0,0,0,internacional,1,3,11,95999,93547,13006,80541
042122nacional,21/04/2022,Thursday,April,2022,nacional,llega en defensa y tambien la capturan,mujer fue detenida cuando intentaba salva a su hijo de la aprehension de la policia,3,0,0,0,0,0,2,1,0,0,0,publicidad externa,1,7,15,98795,95848,10679,85169
